datestamp,Agriculture,Business services,Construction,Durable goods manufacturing,Education and Health,Finance,Government,Information,Leisure and hospitality,Manufacturing,Mining and Extraction,Nondurable goods manufacturing,Other,Self-employed,Transportation and Utilities,Wholesale and Retail Trade
01-01-2000,10.3,5.7,9.7,3.2,2.3,2.7,2.1,3.4,7.5,3.6,3.9,4.4,4.9,2.3,4.3,5
01-02-2000,11.5,5.2,10.6,2.9,2.2,2.8,2,2.9,7.5,3.4,5.5,4.2,4.1,2.5,4,5.2
01-03-2000,10.4,5.4,8.7,2.8,2.5,2.6,1.5,3.6,7.4,3.6,3.7,5.1,4.3,2,3.5,5.1
01-04-2000,8.9,4.5,5.8,3.4,2.1,2.3,1.3,2.4,6.1,3.7,4.1,4,4.2,2,3.4,4.1
01-05-2000,5.1,4.7,5,3.4,2.7,2.2,1.9,3.5,6.2,3.4,5.3,3.6,4.5,1.9,3.4,4.3
01-06-2000,6.7,4.4,4.6,3.1,2.9,2.5,3.1,2.6,7.3,3.1,2.6,3.1,3.9,1.8,3.2,4.4
01-07-2000,5,5.1,4.4,3.5,3.1,2.2,2.9,3.6,6.8,3.6,3.6,3.7,3.7,2.1,3.9,4.1
01-08-2000,7,4.8,5.1,3,2.9,2.5,3.1,3.7,6,3.4,5.1,4.2,3.5,1.7,3.4,4.3
01-09-2000,8.2,4.6,4.6,3.2,2.6,2.2,2.1,3.3,5.9,3.4,5.8,3.8,4,2,4,4.1
01-10-2000,8,4.1,4.9,3.3,2.1,2.6,2,2.4,6.5,3.6,7.8,4,2.9,2.2,2.8,3.7
01-11-2000,13.3,4.4,5.7,3.3,2.2,2.1,1.9,3,6.5,3.4,2,3.7,3.8,2.7,2.3,3.6
01-12-2000,13.9,4.5,6.8,3,1.8,2.3,1.8,4,5.9,3.3,3.8,3.9,2.9,1.8,3.1,3.7
01-01-2001,13.8,5.8,9.8,4.4,2.6,2.6,2.3,4.1,7.7,4.6,2.3,5,3.4,1.9,3.6,4.7
01-02-2001,15.1,5.9,9.9,4.1,2.6,2.6,1.5,2.9,7.5,4.6,5.3,5.4,4.2,2,3.4,5.2
01-03-2001,19.2,5.3,8.4,4.5,2.8,2.4,1.8,3.8,7.4,4.9,3,5.4,3.4,1.7,3.5,5.4
01-04-2001,10.4,5.3,7.1,4.1,2.1,2.6,1.9,3.7,6.8,4.4,4.7,5,3.8,2.1,4.2,4.3
01-05-2001,7.7,5.3,5.6,4.7,2.4,2.2,1.8,4.2,6.7,4.7,5.9,4.6,3.2,2,3.1,4.5
01-06-2001,9.7,5.4,5.1,5,3,2.8,2.7,4.1,7,5,4.7,5,4.6,1.7,4.3,4.9
01-07-2001,7.6,5.7,4.9,5.7,3.1,3.3,2.8,5.2,6.8,5.6,3.1,5.4,4.1,1.8,4.2,4.3
01-08-2001,9.3,6.2,5.8,5.6,3.7,2.9,2.8,5.4,6.8,5.5,3.3,5.5,4.5,2.3,3.9,4.8
01-09-2001,7.2,6.4,5.5,5.5,2.8,3.1,2.2,5.6,8,5.4,4.2,5.2,4,2.4,3.9,4.8
01-10-2001,8.7,7.2,6.1,6.1,2.9,3.3,2.2,6,8.3,5.8,5.4,5.2,4.1,2.3,5.8,4.8
01-11-2001,11.6,7.6,7.6,6.4,3.1,3.6,2.1,6.2,8.5,6,3.6,5.3,4.2,2.3,5.4,5.3
01-12-2001,15.1,7.4,9,6.7,2.9,3,2.1,7.4,8.5,6.3,5.3,5.6,4.5,2.5,5.6,5.4
01-01-2002,14.8,8.9,13.6,7.9,3.5,3,2.4,7.1,8.6,7.4,7,6.7,5.1,2.7,6.6,6.3
01-02-2002,14.8,7.7,12.2,7.6,3.5,3.5,2.5,7.6,8.7,7,7.5,6,5.6,2.6,5.7,6.6
01-03-2002,19.6,7.5,11.8,7.4,3.2,3.2,2.4,7.2,8.5,7.3,5.3,7.1,5.5,2.2,5.6,6.6
01-04-2002,10.8,7.3,10.1,7.5,2.9,3.3,2.2,6.9,8.4,7.2,6.1,6.8,4.6,2.5,5,6.4
01-05-2002,6.8,7.7,7.4,6.4,3.2,3.8,2.3,7.2,8.6,6.6,4.9,6.8,4.6,2.6,4.5,5.8
01-06-2002,6.3,8.2,6.9,7,3.9,4.1,2.8,6.9,8.5,6.6,7.1,6,5.5,2.4,4.9,6.2
01-07-2002,7.3,8.2,6.9,7,4,3.8,3.2,7.1,8.2,6.6,3.9,6,5.8,2.4,4.9,5.6
01-08-2002,9,7.2,7.4,6.5,3.9,3.8,3,7.1,7.5,6.2,6.3,5.8,6,2.6,3.9,5.8
