,Name,Position,Age,Markey Value In Millions(£),Country,Club,Matches,Goals,Own Goals,Assists,Yellow Cards,Second Yellow Cards,Red Cards,Number Of Substitute In,Number Of Substitute Out
0,Kylian Mbappé,Centre-Forward,22,144.0,France,Paris Saint-Germain,16,7,0,11,3,0,0,0,8
1,Erling Haaland,Centre-Forward,21,135.0,Norway,Borussia Dortmund,10,13,0,4,1,0,0,0,1
2,Harry Kane,Centre-Forward,28,108.0,England,Tottenham Hotspur,16,7,0,2,2,0,0,2,2
3,Jack Grealish,Left Winger,26,90.0,England,Manchester City,15,2,0,3,1,0,0,2,8
4,Mohamed Salah,Right Winger,29,90.0,Egypt,Liverpool FC,15,15,0,6,1,0,0,0,3
5,Romelu Lukaku,Centre-Forward,28,90.0,Belgium,Chelsea FC,11,4,0,1,0,0,0,1,2
6,Kevin De Bruyne,Attacking Midfield,30,90.0,Belgium,Manchester City,14,3,0,1,1,0,0,4,6
7,Neymar,Left Winger,29,90.0,Brazil,Paris Saint-Germain,11,3,0,3,3,0,0,0,3
8,Jadon Sancho,Left Winger,21,81.0,England,Manchester United,13,0,0,0,0,0,0,7,5
9,Frenkie de Jong,Central Midfield,24,81.0,Netherlands,FC Barcelona,13,0,0,2,2,1,0,0,2
10,Bruno Fernandes,Attacking Midfield,27,81.0,Portugal,Manchester United,18,5,0,8,3,0,0,3,5
11,Joshua Kimmich,Defensive Midfield,26,81.0,Germany,Bayern Munich,18,3,0,4,1,0,0,0,3
12,Raheem Sterling,Left Winger,26,81.0,England,Manchester City,15,2,0,2,0,0,0,9,2
13,Marcus Rashford,Left Winger,24,76.5,England,Manchester United,6,3,0,0,0,0,0,3,3
14,Sadio Mané,Left Winger,29,76.5,Senegal,Liverpool FC,15,8,0,0,1,0,0,2,3
15,Heung-min Son,Left Winger,29,76.5,"Korea, South",Tottenham Hotspur,15,5,0,2,1,0,0,4,4
16,Pedri,Central Midfield,18,72.0,Spain,FC Barcelona,5,0,0,0,0,0,0,1,2
17,Phil Foden,Central Midfield,21,72.0,England,Manchester City,13,5,0,4,0,0,0,4,3
18,Lautaro Martínez,Centre-Forward,24,72.0,Argentina,Inter Milan,15,5,0,1,3,0,0,2,12
19,Marcos Llorente,Central Midfield,26,72.0,Spain,Atlético de Madrid,11,0,0,0,1,0,0,1,2
20,Lionel Messi,Right Winger,34,72.0,Argentina,Paris Saint-Germain,8,3,0,0,1,0,0,1,2
21,Mason Mount,Attacking Midfield,22,67.5,England,Chelsea FC,13,3,0,2,0,0,0,6,3
22,Trent Alexander-Arnold,Right-Back,23,67.5,England,Liverpool FC,12,1,0,7,1,0,0,0,3
23,Rúben Dias,Centre-Back,24,67.5,Portugal,Manchester City,16,0,0,2,3,0,0,2,0
24,Marquinhos,Centre-Back,27,67.5,Brazil,Paris Saint-Germain,13,1,0,1,2,0,0,0,0
25,Jude Bellingham,Central Midfield,18,63.0,England,Borussia Dortmund,18,3,0,7,4,0,0,0,6
26,João Félix,Second Striker,22,63.0,Portugal,Atlético de Madrid,11,1,0,2,3,1,0,5,4
27,Alphonso Davies,Left-Back,21,63.0,Canada,Bayern Munich,15,0,0,5,1,0,0,0,6
28,Achraf Hakimi,Right-Back,23,63.0,Morocco,Paris Saint-Germain,17,3,0,2,2,0,1,2,1
29,Declan Rice,Defensive Midfield,22,63.0,England,West Ham United,15,3,0,3,4,0,0,0,2
30,Rodri,Defensive Midfield,25,63.0,Spain,Manchester City,14,1,0,0,2,0,0,1,2
31,Mikel Oyarzabal,Left Winger,24,63.0,Spain,Real Sociedad,11,6,0,1,1,0,0,1,6
32,Federico Chiesa,Right Winger,24,63.0,Italy,Juventus FC,13,3,0,2,0,0,0,3,6
33,Matthijs de Ligt,Centre-Back,22,63.0,Netherlands,Juventus FC,12,1,0,0,1,0,0,1,1
34,Kai Havertz,Attacking Midfield,22,63.0,Germany,Chelsea FC,16,4,0,2,0,0,0,5,5
35,Sergej Milinković-Savić,Central Midfield,26,63.0,Serbia,SS Lazio,17,4,0,4,3,0,0,5,7
36,Bernardo Silva,Attacking Midfield,27,63.0,Portugal,Manchester City,16,3,0,1,3,0,0,2,6
